"笑侃流年百态：很多人质疑黄晓明，
何德何能担任影协副主席，
其实这是对黄晓明的最大偏见。
演技过硬代表作数不胜数，
花一个亿办婚礼三观确实正！,5814267582,锐锐哥哥
黄，总体是可以的。,3861084641956980,朴实明镜k
？,61247903548,叫我官人zZ
毛线,93081551865,淡泊晨逸
有钱么,50804388969,天涯一木
代表作！！！,5434586601,核心大臣
黄晓明，没毛病,3262941889836615,风雪云飞扬
黄晓明除了演技这块，其他方面还真不错[赞],259108460824968,风轻云淡的烟火
小明不错，支持,2661247211024270,聪慧秋天的记忆
支持黄晓明,98982042570,风姿卓越光束i
当之无愧！[赞],75370063071,寒梅傲雪1247794740
离开了前妻，越来越好了,51927501913,可乐绿茶139459837
德艺双馨黄晓明[赞],52319139313,环球视觉俱乐部
可能也确实没人了吧，唉[捂脸],1398198875718327,用户664853409865
平时吐槽吐槽他希望他更优秀，但他真的很好，很好，没有什么负面消息，心也善良,62447658110,上进的葡萄lnT
🐲一起迎接龙年,62284317200,烟11紫色
越来越喜欢黄晓明！,4375053019,萬仟寵愛
唯一的败笔是娶了个叫贝比的媳妇。,102586149454,独自修行77
演的也还可以,426237383156119,书画小玩家钱币老玩家
除了老是在有出色演技后就奖励自己一部油腻的霸道总裁外，其他其实还好,110809960852,夏往北冬朝南
🎊一起春节倒计时,100427103233,用户5099725794420
就好比李宇春次次C位一样，总觉得有些东西莫名其妙[灵光一闪],51244069081,猩猩在点灯
一个花花公子，一个演员有什么能力担当重仁,2550486196560327,用户1254524718587
除了演霸道总裁之外，其他各方面都是很好的[呲牙],6947988759,发黑会挥发的黑灰化肥
山东人的骄傲[赞][赞][赞][赞][赞],3021092775018147,新月清尘
确实很好，不知道为什么都做到这样了还有人说，点赞！,1847623290727127,无名小姐
没人质疑黄，大家只是质疑他的身高而已[机智][得意][捂脸],3522465324079356,足智多谋生活家Llw
黄晓明最大的问题是油腻霸总演多了，再加上杨颖给他带来的负面影响，所以在老百姓这没啥口碑,54716851292,做一个有理想的吃货单
我觉得吧，他演技不如胡歌，更不如王凯,111076001374,linhd123
所以他前妻的所有社交账号都解封了？,382245756469550,知否还是知否
[赞][赞][赞],4155798406045164,boop枫
我也喜欢他[玫瑰],506208352736957,绿水无悠
绝对支持黄晓明，我们青岛的名片,50061315656,浅殇124849126
支持小明[赞],3900671451732824,无忧的芒果uAN
他的最大黑点应该前妻,54881192707,Tokmg
感觉黄晓明还是可以的,471065804674976,小猴子和大兔子
慈善大使,237130631623119,榕文
演技不好就是演技不好，不能服众，就是不能服众。觉得有爱心，那他应该去红十字会去应聘当个什么副会长之类的，改变红十字会的恶劣形象。而不是去影协。[酷拽],15858127754,爆炸糖1
小明哥人品没的说,58994231954,Thailannatrasze
小明离婚后，又恢复了男人的样子，那个女人太克,103612779442,果果宝宝
综合实力很一般,994390552086616,静nq5D
🎊一起春节倒计时,103612779442,果果宝宝
私生活混乱,82780760475,Jolly怡然
演技好，颜值高，善良正直，必须滴支持[赞][赞][赞],110535608974,用户4596250958727
支持支持[比心][比心][比心]算不错的艺人,193927185182343,诗一云
人家只是娶错妻，别的方面还是很优秀的。,54111410004,兰箫
黄晓明还是不错的,1648860662871223,我就随便取一个名字
黄晓明的人品大家应该是看得见的，我老头子非常支持,110842936730,用户9726660517037
🎊一起春节倒计时,3971089611897432,用户9783828334464
🐲一起迎接龙年,50540115112,顽强溪流莫莫
这个职位有工资的吗,15989554174,芳子520
按一些人喜欢的说法，人家违法了吗，为什么不行[捂脸],52772234013,撒一艘船
是的。绝对应该。,75958851978,牧童hwx
他唯一的缺点就是看女人的眼光,17466861004,Elf11
挺正能量的一个演员,399828837205332,青岛垃圾分类
人家的师傅是发哥,730534993466135,快乐的另一半
给儿童打的疫苗造假的长生生物真的跟他没有一点关系？,676943558098173,行走的五花肉VWV
内增高,4129368818063864,秌来玖月拾
虚报身高其他说明品行有问题,6670270412,咯児湾的陀螺
支持黄晓明,2563699955217037,踏月归去jd
正当年[赞],1504593440148704,夏至4703
影协领导不直播带货,3487292474801389,26楼的茶
中规中矩,74252637584,那年冬埋剑于此
当年小鲜肉的代表人物，耍帅界的鼻祖，富婆界的宠儿！他的当选说明中国有些烂事已不可逆转！,3186817020,冠污首黑薪不花
何德何能,106911007276,宠爱依旧
并没有，炒作好不啦,3626666167641101,博学多才的星空reP
我不是粉但感觉他挺三观正的,60898356795,财思敏捷星
这都是前进中实力派人物[捂脸][捂脸][捂脸][捂脸][捂脸]，,102969876301,好学蜻蜓0P
除了演技，其他都没有争议,5534270995,点都不胖的吴小胖
他是不是离婚的哪个！！！,5864004059,肉爱牙牙
起码不是司马懿那个扳机,9162585018,会飞的巴莱
黄晓明一生最大的黑点，就是杨天宝。,6290161562,蜉蝣掘阅丶酌彼兕觥
只能说关系很硬,87607334153739,好咯咯嘛题
黄晓明一场婚姻把自己混成尘埃了。,6048857142,西域二姐夫
是因为《叶问2》吗？,1987516920237902,东龙大帝
一些喷子真的人云亦云，什么叫演技？同一个桥段让所谓的老戏骨去演看看到底有什么不同，只不过喜欢的人不同罢了,66709368180,有趣的风筝tqn
除了娶了AB，其他没有黑点！,6705737967,勇敢的男人爱猫猫
感觉他对影视界没做什么贡献！,61929382568,淡雅若兰
实至名归！,6845669116,MorningSun一CeliaX...
离婚原因？那个网红是不是有关,2277824399166860,甜啰啰
割韭菜也最狠,2788838543460655,认真的糯米37U
晓明除了找女人不靠谱，其他的还是不错的,110295937575,改来改去还不行
陪衬,108150293421,乐观的面条君
因为人家娶过杨颖[呲牙],17802779295,梦想零落成斯
王志文老师没当选，可惜,6306228911,James1919
可以了，支持,1429006412696324,燕长天水灵灵51020
实至名归,111533395896,才思敏捷小鱼gs
有钱，公司多，富婆多，怎么就不服气呢！,518581608265437,海青老陈
青岛人双商高，会办事[赞],3386944196719191,深刻反思者
关键认了个好干爹,64731619876,Wzz
离婚了以后还是挺顺眼的。,3783988736,奋斗5188888
他主演的大唐玄奘和中国合伙人演技都在线，做人也正派！,2964754754964623,顽强星球f3
我看行[赞],6529510421,凯哥163078799
黄教主演技一般中上,87041570777,牛28020
演技，仁者见仁智者见智，德行，小明绝对胜过绝大部分现有演员[赞][赞],52258826253,一张小纸条I
晓明的负面新闻是什么？,60108121662,积极上进干饭人
我喜欢看他演的电视剧。,101015158810,率真铅笔kG
黄晓明以前挺招黑的，自从和北鼻离婚了居然华丽转身啊[呲牙],6716160725,晒太阳的小趴龟
真搞不懂他怎么会娶baby,109055909325,肥柚子
好奇怪，因《大汉天子》喜欢黄晓明，因2亿婚礼讨厌他，离了以后好似又没哪么烦他了,52054772896,C红莹
世界的尽头是仕途,53346436016,墉嫱
之前股票事情，好像他妈妈都牵连了。没说清楚,5058005942,在富士山下吃鱼的ZZ
黄晓明是德艺双正直善良，当宣影协副主席是当之无愧的。国家那里有难那里都有黄晓明的身影捐款捐物冲在前面。,53067648687,淡看人生218710393
黄晓明当个主席也够用支持黄晓明 责任感比较好的人那些不服的你们也可以去当吗 你们能当上我也支持你们 就怕你们当不上[惊呆],80713062441,乐天派豁达云
盛名之下其实难副，没什么可反驳的[捂脸][捂脸][捂脸],79320400688,元微剪影
新人换旧人！,108732846040,123蚂蚁加油
挺憨憨的一个人，除了杨过那个造型辣眼睛，其他都还可以其实,108964395119,SpongeBob蟹
他不是开自己多家公司嘛，搞这个干嘛,75759891722,舞枫6
黄的正能量也还是有的，起码没什么负面的东西,2458135448256779,富足漂流瓶Ww
哈哈大笑,6956346354,长征16号
看到评论区有那么多评论，就说明人家名气人气都有，为啥就不能当呢？说演技啥的咱不懂，那人品应该没得说吧？,4084037803315759,聪颖豆浆qpn
呦……,51668082323,俊俏奶酪0fE
您去：评论一个人？您了解【别人的一切吗？】？做好自己的人生！比什么都强。,1644465284713816,漫游天地苍海一叶
文艺演艺界，仅仅是行业和工作，为什么总是全民偶像？,73926389056,异国诗歌
他只是油[看],5957450011,健康积极乐观生活
两个人的境遇高下立判[呲牙],102125781622,车马书信者
好像没调教好老婆。,4620120591,惟生
同意黄晓明换蔡徐坤的举手,2617272881131912,能起的昵称都被起了
为什么么古天乐做那么多好事，演技也好，古天乐怎么没评上,98095122895,黑白17546
黄晓明没啥毛病吧，就因为娶了一个花瓶被黑来黑去,111047669336,ddohfyukp
就凭让前老婆得奖这一点就不具备！,2334999975828845,足智多谋饭团TPt
特别是演杨过？演的像金庸小说里的杨过一样一样的？比古天乐演的杨过好过几条街？绝对是代表作？还有上海滩里的许文强撑雨伞只顾自己把冯程程淋湿了都不知道？,1147536494040749,无一世界
靠关系的,62498211851,宽景人生
从来就没有看他过他演的影视[我想静静],2401790824546867,胡
除了婚姻失败，其它都可以，成为天王还需努力！,2260244525751959,勇敢的豆浆XD
实至名归[赞],1446590642135499,开朗星星V
🐲一起迎接龙年,50051328889,村级老帅哥1
我欣赏,75231435469,戰無不勝1592
偷税漏税也不错,106576923315,博学枫叶Bc
在他这个年龄，适合的不多了吧。现在年轻这一代，不是黄赌毒就是黄赌毒。[捂脸],4077215499,大壮哥的风花雪月
从没有过一个成功角色，装！,6908247402,做而论道V
应该是没有漏缴税,1736827253830356,上进的高山We
管他行不行，贵圈如此乱象，谁上不一样？,60469394899,情绪稳定的群众168
前妻拉垮了人设,1372637139308445,兰心小微
这个副主席如果与奥斯卡金像奖或者金鸡奖，百花奖的其中一个进行二选一，哪个更重要？会怎么选呢？,3573877493736045,天府之国
🐲一起迎接龙年,2792383581533870,多才多艺海燕NZ
我觉得黄沉淀一下再有一部传世佳作就完美了,5955329550,特别的爱scw
[赞][赞][赞][赞],98407285901,端庄优雅咖啡L7
在不当，以后都是流量生霸占了！！！,2085127782151917,都灵2021116
18亿,5813593465,humin8293
演员不说绝对99%当面一套背后一套,1161505416675901,用户7031369501271
妙笔生花,5488781056,Mr决然
演技过硬，算了吧，看他演戏就难受,22993335797,想念我的肥包猫
一直都会支持人帅心善的黄晓明、人低调不炒作、三观正、每次国家有难总是冲在前、,103796144597,优雅生活家Yha
人是火了但想不出任何作品[捂脸],6019891549,疯狂的一辉
都搞定了多年了，这一趴有远见,4428451848655351,ludymm
为什么不是胡歌？有口才有爱心有好剧,1472987884696188,自在的点点星光
人家的慈善家,2031522194406622,新预期
🐲一起迎接龙年,2984496178135624,乖巧阳光Uzs
我去，全是挺黄的……,5361781459,明52030716
BaBy前妻后悔哭晕在厕所！[大笑],2247840350085342,热情的琬爸
好多明星，厌烦[打脸],229114145419728,用户4710899732047
黄晓明演的电视剧都不咋地，但他热衷慈善活动，要求进步，比许多艺人还是要好的多,79146312693,幸福露珠lE
人品不错！总得说识大体顾大局,844874617465816,乐天派定州7q
干部年轻化？,3881632154,海阔天空29041036
支持黄晓明！,68234693527,朴实天空Zi
最有资格担任这一职务的人。黄晓明有演技有颜值有爱心，正能量演艺界楷模[赞][赞][赞][赞][赞][赞],19365915955,海底纵队1
很多人，知道电影家协会的职责吗,3379230617,fallenacceptance
确实是好演员，在美国和赵薇还有一些工作人员，包赌场赌博[捂脸][捂脸][捂脸],60510303986,原来的我39027
不要诋毁前妻。,104936621329,绿水219
晓明不错啊，看起来很实在，也很善良,50024081040,薰衣草的味道16
得到了没有？,82929253834,七天笑
公益做的不错，人品还行，就是觉得这个人有点假，身高假，头发假，演技假，什么场合都感觉在架着，活的不真实,92331716345,用户7441934739934
不苟同,1297061849870477,运筹帷幄饼干hC
除了有时候眼光不行，私德还行,82023359535,雁过无留影
黄晓明就是自己把自己玩死了，和张一山一个路数,105222508378,往事并不如烟or
唐伯虎开始,72279020383,随心而变33
除了耍帅，人品三观都很正[赞],7022274774,北平的王大爷
支持黄晓明[赞][赞],85361917688,不凡梦想z5
组织能力特别强，比如说世纪大婚。具备组织能力，具有领导才能。,101675173080,雷打不动的懒
这一边倒/该称为水军呢？还是雇佣军？[奸笑],2634033534344388,和濎
除了年轻时爱耍帅，看人眼光差点还真没有什么黑点,3903763115,绝对球星
"仅就演技而言真的很一般，不管什么角色头发都是一丝不够，耍酷的咧嘴""黄氏""笑容，很多都是端着演，最近的那部剧《潜行者》就没法看下去",1156289667543544,央磊
黄晓明好演员！名副其实！,93561218591,自在的一片落叶
支持,6012123133,紫罗兰75697259
支持黄晓明[赞][赞][赞],1794849964562413,浮云语蝶
演技你去品一下上海滩，绝对是实力派,3715802405,Love灬小万
见解独到,6847513138,大中原小南北
哪里请来的键盘手[抠鼻]多少钱,2726409399446819,深飘有居
他可能人品好，至于他的演技真的不咋滴。国内的影视奖评的一年比一年差。,111150103959,鱼腥草的味
副主席含金量太低！,81336668544,广西阿叔
支持黄教主,3315721705620871,YL解语花
黄晓明不是停好的么？为什么要质疑呢？是嫉妒恨吗？,55874573224,sunuAi
厅级吗？,4471835918,宝君
还有个姓黄的，到处说谁谁谁是他学生,106327935019,木易34724
他妈妈和赵薇一样操控股票坑害股民 你怎么不报道,6911948723,经典电影怀旧版
就他那演技？比他长的有气质的男演员都数不过来。,694488099469899,活泼花猫cI
洁身自好[捂脸][捂脸][捂脸]，骗鬼呢,1649730166463918,话个大饼
明哥，实至名归[比心][比心][比心],13125770437,随性自由的轮船wJ6
把哈尼克孜弄进医院去了[大笑],3509263604386333,满脑子都是赚钱
走后门当上的,1038357205629856,清新麻酱iW
什么，天王巨星？离天王巨星还得再跑几段路吧～,101564833039,畅畅55484507
人缘好咋滴,1380640138990776,美帝国主义都是纸老虎
黄晓明[赞][赞][赞],4283904092,天道酬勤37451962
有钱收吗,5523070742,Sanmy58254499
算不上什么官，连10品都不够[捂脸],4265729471297064,儒雅牛饮咖啡
你见过他本人多做作吗,3051896358063104,多次拒绝茜茜刘
黄狂割韭菜八亿谁还记得？,50238490900,楚125942694
除了霸道总裁，似乎也没什么黑料！,55061240475,圣蒂美学大壮
🎊一起春节倒计时,107779960388,茉莉百合Nini
黑粉说白了其实就是羡慕嫉妒恨,6374415519,桃园庄主ai
支持教主,53409504157,卡拉米也有春天gbk
你太抬举他了,2510925765804424,才高八斗湖泊pZp
站队站对了,5953859227,英明果断橙子mpC
不错,1104338165958971,奔放的牛1973
[鼓掌],2665660672655022,懒猫很乐观
有什么资格笑他？？,52943111322,潘安安123
[赞][赞][赞][赞][赞],103716826916,博学的孔雀kR1
不知道那个什么颖后不后悔,3743485498,绝望的生鱼片lg
来说说看那些作品过硬？,3227915099,LiuJun牧民
🎊一起春节倒计时,50309556989,易毛医
🐲一起迎接龙年,1613708384544429,农村燕子是我
这种人也配,2326187461852893,多才钢笔HM
每演一部高分影片，就会奖励自己一部烂片[捂脸],2749231584248968,乐趣小骆驼
琅琊榜2严重被低估的片子，比1好[流泪],109835484808,乌龙白茶
有关系吧,50014285037,认真的百香果IA
[赞],79586338464,snowy
我支持他，因为每次捐款他还是跑的挺快的[赞],51999031068,心馨18
[我想静静],51960037125,1十1十3a
有道理,57778686598,涛声依旧152252912
我觉得黄晓明配得上。支持黄晓明[赞],3241809644107368,海口秀英区腾之纪百货店
这玩意演的我一概不看,5552003829,Dongyong
陈道明从来不做慈善，凭啥他当选主席啊？演戏也从来都是端着，千人一面的表演。,2229437831590084,博学的火车eD
很有正能量的人[呲牙],1627749989493903,夜无眠由我璀璨
baby哭晕了,4290044457,power37636983
代表作很多吗？,83465584031,leeziluo
他是人红作品差！,58042484807,山色空濛128
据说家里很有实力,3297346332,向日葵的奥特曼
像中国人！！德艺双馨！,4119227836145776,青釉品质
我支持小明哥，吴京不合适,5361264537,天下事世事关心
黄晓明这个副主席比吴京这个副，大家说说强多少倍？,6120114293,涛声祎旧
🐲一起迎接龙年,101324013543,用户7719152071322
德值几何？几何乃德？,391071518694780,进取扑克51D
为什么那么多人喜欢黑他,1881954055096591,上进自由的石头
演艺界搞那么多代表不知道代表了什么，能代表谁！,3868820192,书写真实
支持👍,53118911638,手机用户53118911638
没有观众缘,1726648488820755,聪明帆船dxA
他有个锤子的演技。要真有演技，也不至于无戏可拍了。,1403421279136862,瓜哥频道
人脉才是最终的底牌,2779205388468432,南门啸东风
你说的情况是他作为演员基本素质，也没有达到炫耀的资本，毕竟差距还是很大，群众的眼睛是雪亮的,105126458206,一头飞奔的乌龟
晓明哥[赞][赞][赞],13625547074,缤纷菠萝V9
青岛小哥的骄傲[赞],110480181879,BERNOULLI
支持晓明！[赞],64359153166,无极xyf
说得太好了，黄晓明无论从演技还是人品以及思想境界都配得上影视巨星的位置，他影协副主席的荣誉和地位实至名归！,206316125571767,浅唱雾非雾的情思07HL
不过他演的片子也挺好看的,2405341982631208,潇洒春风888
这些内容都是自己的团队做的吧,2405341982631208,潇洒春风888
又不是按照演技评的，都是人情世故,1922365331614880,细鬼
杨拿走了他一半的资产,2436121580548903,agny3365
来，拿的出手的作品是啥，比他拿的出手的演员多了去了,6489101103,左手一起画个李小虫
黄晓明穿内曾高是他的权利，身高跟人品有什么关系？,3707170420165700,直率星球Ft
他确实不行,2729455856135619,上进小笨蛋
呵呵呵沧海一声笑,58862846444,端庄优雅小鱼kb
黄小明戴着假发，不知道大家看出来没有,5953140558,416036119
演技尴尬至极，主流大奖只能解释为他背后有人。专业和能力几乎看不到，情商非常高，外形也好看，慈善确实可敬。至于一股清流这事并没有说服力，早年被包养传闻种种，加上莫名其妙的一直处于顶流，确实疑点重重。什么天王那些更是扯淡至极！,6372822533,伤人的大实话
一场婚礼花费数千万，奢靡浪费，不适合作为榜样！,5136117357,戒不掉的黑咖啡
他只要不演戏[捂脸][捂脸][捂脸]干点什么别的，我觉得都不错啊,57653530768,Adam牛魔王
长发好难看。短发好。,109605083900,无忧的熊猫NE
何德何能，的小生,104163915428,冒得灵魂788
实至名归当选副主席！！,844860645445356,极速如愿
钱到位了,108244174291,三尺浪花
比那个吴京要好吧。,4063395801994142,英明果断香瓜MKI
派出所说我瘫在椅子上像什么样子我说我修车的就对我客气,732698289908483,用户2044285259848
演技过硬[捂脸],92004683620899,淡泊大摩羯
富大龙不正吗？演技不比黄晓明好,294300618065038,小可爱石墨
他已经开窍 并且成熟了，三观摆正了！,50475396057,gao1818
驭妻不严,5431905227,知牧卿
他是资本，有钱,54232580236,不凡飞絮
担任那个有什么用,93422840143,醉爱李花香
超级婚礼，离婚，影响不好,10173153918,天地之间有杆秤zs
按住喇叭比，复婚吗,98184674300,行有不得求诸己
他有什么演技？[捂脸],6488292943,不倒翁91877166
主要人家就是资本,95042458826,回忆不在忧伤
与杨颖离婚，说明黄晓明能明辨是非[赞],1860482007,清心寡欲X
演技很差,21552302609,高贵梦想SN
发哥 古天乐捐款不少，堪当大任,3439246710,拓跋山狗
这下杨颖有救了！,1415760280038727,279fqy
听说是选出来的[捂脸],105897731553,独自等待1998
有梁家辉吗？,99125254692,刀背之血
让他那前鼻拖累了[黑线],4041435134825319,晴天zyoL
你不错,1275029983602190,知名工程专家学者
[呲牙][呲牙][呲牙][呲牙][奸笑][大笑][捂脸],5495919024,粉丝胖子
为教主打call,64323146140,喵勒个神吖
没有女士当选，就得找吸引女士的帅哥。[捂脸],102482417508,东北网鱼
幸亏离婚,10791725001,黎潇剑
严重支持,104765902268,李玄轩
如果可以选，我觉得胡歌比他要强,3356835666,whccx2020
人品可以，演技真没有[皱眉],50074966670,喷一喷pro
最大的败笔就是娶错老婆,531805371633204,蓝天下的海湾
贝贝是败笔,104380227366,行多远，方为执着。
[给力],6667014208,某时某人
可以稍微黑下他的演技，人品和工作能力，娱乐圈情商智商等没得黑,60796915238,子吾的
支持！,3949101590249614,博学的冰淇淋f
他爹黄世仁赞助的吧,102657547138,非凡奶酪JxS
🐲一起迎接龙年,6296105631,腊月84747218
真他管事太多,4627477965,风姿卓越蜻蜓IR
靳东最该当选,3913874078438419,余鉴冈
四字都行[看],98668428651,时而哈哈
真没有绯闻啊,59339114954,冰雨161233345
结婚花了一个多亿，有钱人,2634895047525549,奇幻清泉auk
雖然離了，小明哥也要照顧字母姐，雖然她去了瘋馬秀,95886644134,喜馬拉雅之珠穆拉瑪
取了个媳妇害死他了,73531525270,长安一片月9527
