"见微知著：在高速上过夜的小朋友，当时车在零下三度，下着冻雨，动弹不得。
油车还可以开空调，80%以上油的话，顶两三天，问题不大，半箱油，也能顶一天半。
🎊一起迎接春节,6707797725,淡然之水
见解独到,6052073404,莫妍菲
要不是我有电车 信你个鬼，开电车空调贼省,110418266698443,闽南A先生
气温还行，要是在东北冷下30℃，就完了。,92607945788,风的季节54343
🐲一起迎接龙年,3586091615,淡然135689
疯狂比心,109262355506,才思敏捷船帆gh
怠速每小时1.2-2升油，一箱油60升大概30-40小时,6009146638,马铃薯就是土豆
很多油车车主都是抱着对电车仇视的态度看待问题，既没有买过电车又没有开过电车，就凭臆测联想或者另外一些不可告人的目的，到处发小作文。我就没有看到过哪个新能源车主到处发攻击油车的文章。,95179687961,浪无崖550
冻雨就清不了了吗，没经验吧，看我们山东高速[大笑][大笑][大笑],22441344055,临沂小市民
电车就是香！不可否认的香！电车就是省油！有彩电冰箱大沙发！就是香！,105678028126,额尔登朝鲁巴图
这存在感，也只能用在这里,11114230450,生煎馒头加馄炖
都是统一的文案,59162460683,空门不进不为奇
🐲一起迎接龙年,50018473293,坚持到底124519429
🐲一起迎接龙年,72100609079,风趣英明果断豆浆at
你都这样哪来的底气管电车车主？,59409846947,博学多才的辰星nXR
你关心人家电车干嘛嘛，人家开电车的都没说啥，冷人家也没找你，还是老老实实的呗,53214072012871,魔法师图们5M8
大家发现没有 下雪天一般不会出太阳,3715971918333795,无忧的旭日uz
🎊一起迎接春节,5923330166,不愿透漏姓名的解科先生
不服不行,3448534784032397,风趣的晓晨
🐲一起迎接龙年,1349823513237847,智者芒果eV
专家们不让货车按柴暖，这堵车几天中大用了吧,4294500717,因为沵而感动
下次出发前。还是要查好天气。,2041115543347390,热闹风声h1
混动舒服😌,62552699116,W火炎焱燚Z
几天前就发布了极端天气预报，这人们是有多不信任天气预报。30号在河南许昌，本来想南下去武汉，听到天气预报，果断返程。这么多人宁愿在高速上堵车，也不相信天气预报。还有人在已经下雪，下雨，继续上高速，这些人都心理都是什么啊？着急回家，真差这几天。,2493305753441107,love平常心love
一针见血,3918296914336413,无双天空erP
你扯这个话题，马上就要引发油电车主大战了。建议所有的车主，在恶劣天气跑高速之前提前带两床被子在车里。准备足够的食品饮水，可高枕无忧。,88745263345,mfnsh
油车开空调关门窗睡觉，会有中毒致死风险吗？,3988640832431468,fox416
今年高速的堵是少见的,104804572157,闲庭慢bu
各位返程大军 前方加油站已无油可加,95369486823,阿新9404
🐲一起迎接龙年,443827099545964,独一无二的Li先生
其实吧，很多时候都是能下收费站的，只是自己不愿意下罢了。[灵光一闪],12942939951,村南一枝梅花发
我开电车， 我干嘛要去反驳他呀，油车好，油车秒，油车就是瓜瓜叫。[呲牙][呲牙][呲牙],60344683095,宠完小祖宗
电车停在那只开空调。 一小时一度电左右,5832200980,星橙
🐲一起迎接龙年,5832200980,星橙
带着孩子图啥，坐飞机,25686824733,颖侨与荟侨
下着冻雨，动弹不得。[给力][给力][给力]油车还可以开空调，80%以上油的话，顶两三天，问题不大，半箱油，也能顶一天半。开电车的朋友，只能自求多福了。,97147295969,钱圖
电动车 最不怕的就是堵车[捂脸][捂脸][捂脸]开一天空调 也才几度电[呲牙]。关键还不用闻尾气,2741487810,树林百货严选
油车是冬天靠发动机跑起来传热，真要是不动，还不如电车空调给力呢[苦瓜][苦瓜]而且原地怠速开空调油耗一小时10个起了吧,4195351289669247,SylvainSun
今年是雪灾天气，为什么非回去不可，长途跋涉前应该看过天气预报了吧，一般严重天气，都会有短信提示，不适合出行的天气，命比较重要。团圆和孝顺的前提是自己安全，活着。,5819234528,angel66427415
阿弥陀佛希望他们早日平安到家[祈祷][祈祷][祈祷][玫瑰][玫瑰][玫瑰],4209377820544318,和平使者
什么车，你可以怠速这么久！别吹牛逼，容易出大事,3509950713,E-Strong
一个坡，然后就200公里,97072216188,W太阳背后W
一看你就是买不起电车或没开过电车的，电车停止状态下开空调比你油车省多了！,267936035251891,沉着阳光G4
🐲一起迎接龙年,5979509078,MYQ74075892
愿早日平安到家[祈祷],102761152465,月光如水连海平
自作自受，明知道下雪要开车回来,56339561254,wp风清云淡
电车新能源省油,93209776287,社会公正廉明
不看天气不看导航，油不加满就上高速？都非得去堵车，活该你们挨冻受饿,839673521908478,沉着宇宙gZ
🎊一起迎接春节,3791589552961744,用户1923617692190
众多还不了解电车,3513691809029454,水舞大帅
不止只有731，只是731被影视和历史书本提起大家印象深刻，还有以下生化部队100部队，516部队，1644部队，1855部队，8604部队，731部队！,6923725686,太空的子弹
🐲一起迎接龙年,9856600515,子未在川上曰
看看天气预报呀，不走不行吗？这罪受的，大人无所谓，孩子受罪,3547155462,飞机2
不是说电车很好，很实用的吗？？？想想，你又在骗人了,12213266388,缘只为遇见你
带孩子出门不看天气的……只能说做父母的不尽职。而且高速应该封路的。,3025485444689640,走了一半的风景
说电车有多好多好的出来走几步，就现在的技术买电车就是脑子搭牢了。,52845096935,淡定205723581
有小孩子的家庭，车里建议放俩抱枕，可以拆开当被子的那种，超级有用，特别是出门跑高速的时候,7888294572,Summer658
🎊一起迎接春节,2164304968679662,新
平时节假日开我都算你牛逼了，尼玛你春运还开电车………[捂脸][捂脸][捂脸][捂脸]更牛逼的是竟然还带个孩子…………[捂脸][捂脸][捂脸]大聪明,6140846897,JS80533151
电车咋滴？就问你省没省油？,96024805636,逸哥玩路亚
最近这路况，进服务区就加油[呲牙],84792187287,自由的百香果XT
🎊一起迎接春节,1750018937597972,多才多艺乔宝
油车冬天零下怠速加热一小时0.7l油。高速跑500公里后都可以怠速50个小时以上。[捂脸],110734346569,涟漪8848
笑死，你油车说啥都要带上电车损一把，醉了[捂脸],7018752984,留斓
买新能源车还是买增程的吧,63489537876,随风而行215159890
这么简单的事情，搞得好像快死的节奏，全车成员用外套取暖，女性牺牲自己一下，两个人在一起抱紧[给力],58513069956,中山市通锐服务中心
这不还是混动合适，啥也不浪费，边取暖边充电,4388430597,Shipseasky
新能源汽车通勤费用吊打油车，你油车一箱油几百大洋没有了，我家用充电桩晚上平峰期充电二十块钱电费跑几百公里！堵车的时候，我新能源汽车敢开一晚上暖风睡觉，油车敢点火怠速开暖气睡觉吗？,105511628201,聪颖光束sO
这些人就是心大，身边就有这种人，不管啥时候都要开车，几百米也要开，暴雨暴雪也开[捂脸],3170620890154796,都市c酷男
还是电车吧，我早想换了[捂脸],5514384772,申请提高
买个柴暖备着,3818907318,潍坊征程安装工程有限
开空调要注意,75628879800,渴望安安更好20200816
买纯电的这一趟过足瘾了[捂脸],3604294655,JasonGatlin
堵车主要是冬冻雨、路面结冰所致，冻雨产生的地方能有多冷？对电池影响微乎其微。正经极寒是北方地区，西北、华北、东三省，这些地区雪都是干的，只要不下立即就清开道路了，怎么会堵这么长时间。整天说电车怎么怎么着的，真是瞎操心。,1086752246991484,自在远山Wni
开电车的要好好给他们上一课，让他知道自己就是大冤种[捂脸],2129082734875952,乖巧梦想Ym3
一针见血,102459061489,直爽柳叶e0
基本高速都会加满油，堵个个把天没事。只要食物够。无所谓吧。冬天，开着暖风。漏点窗户缝。安心睡,2588709186704443,小豆帝国
净瞎说,12417329511,剧安思
🎊一起迎接春节,86039759025,syea302
呵呵，新能源，可爱至极[偷笑][偷笑],60483598673,聪颖芒果5V
混动，可油可电，要是有条件还可以涮个火锅,4223459133,一起啤酒小龙虾
反正有事直接110，我就不信人民警察不管人民死活,1622519502350123,要想破产快就去做户外
油车开空调？你有车吗？,102446258756,西部世界的手抓饼
🎊一起迎接春节,104362867029,用户7788070738400
嗨，多大点事，多带几个充电宝不就行了[叹气],3691966742,日暮落秋枫
坐车里就关着门，熄火。也不冷其实。不用开空调。一下车活动冷的很。我昨晚堵在湖北国道一夜就是这样。,110280693712,s3405
🐲一起迎接龙年,84326794540,幸福苏铭丶
不知道为啥这么多喷电车的，买了肯定是适合自己，拿我们的车友群里来说，谁家还没个不错的油车，加上我们的电车可以换电，反正我接送孩子和通勤感觉挺好的。,62785450264,浅秋浓墨
哈尔滨零下二十多度呢！也没吵吵冷！,54473304057,鑫玉满堂
电车就是个废,2639306988731151,222五个小时工
好可惜我还是买了电车,6343476979,XIKEXI
说得对,92333280711,猫猫1024
看评论水军真多,2955115743154638,幸运钢琴pS
正是减肥的好时间，一个星期能掉10斤。,2400941302614152,顽强生活家91
🐲一起迎接龙年,5464962481,夜风祭泪
满油满电的时候不用担心，就怕油电要耗尽了的时候堵车，不管油车还是电车都痛苦。,52023285328,勇140114514
恐怖[祈祷],1754450439438395,用户5090983862800
车上放个电热毯，有吃喝住几天都行[大金牙],4111632892,赚点小钱去旅行
好几天下大雪，每天开20多公里，关闭哨兵模式，早晨出门化霜，基本3天电量只剩20%+。正常续航450公里左右,1869634676983949,weinna
🐲一起迎接龙年,85336145366,Sdniuben
我只想知道，自驾出行的你们，出门不看天气预报吗？,64928636681,烨烨烨烨10
疯狂比心,4240129329216063,用户1172602731905
积碳，哈哈哈，学历低的人都在说积碳,1859961471110019,财经小妞妞
我只相信能量守恒[呲牙],2921826415,长弓弯月
电池能死在路上，喷子都去哪了,4226165914737547,wenhongbo
[鼓掌][鼓掌][鼓掌],93026794302,ST0611
比亚迪汉纯电 715续航 不怕堵车 不怕耗电 随便造 本车主路过 给各位普及一下 没开过电车的别用屁股瞎想 瞎黑,127178657775293,昕爸姓杨
最近二手油车贩子开始出来黑电车了,1064785797190723,左前卫
智商不够，受罪来凑,50015272969,山佳128
油车怠速开暖风的话，一个小时2元油钱差不多吧,61497662175,浪子3181890330
🎊一起迎接春节,1283833913150024,罗裳轻舞
电车带一个电热毯不开空调[呲牙]，一个开水壶，有吃有喝，[机智],50577186681,放风筝的猫头鹰
[祈祷]平安回家,59806657395,小小小布瓜
🎊一起迎接春节,84422664212,疏影柏翠胭脂淡621
租辆电车又不贵，你找个低温地方打开空调试试不就得了，在这猜有什么意思呢,2576843476571539,大头哥哥95
1升油一小时，适当节约，半箱油可以撑1天半。电车的话，小时2度电（空调制热），白天基本不能开，留到晚上睡觉的时候开吧。最多撑一个夜晚。Ps.低温下，电池容量/衰减厉害。提前跟交警报备，建议借道应急车道从就近高速出口下高速。,2837774007,非砖家本尊
不知道有什么好争论的，你自己喜欢哪个就买哪个就行了，至于好不好，关别人什么事？难道要自己的钱买别人喜欢的车？,52516485032,旻昊和旻蕊
天气预报不看吗？这个天气走高速,4042253443539191,智慧山丘Uq
燃油车不会被淘汰，但电瓶车会越来越贵！[可怜][可怜][可怜],7976166131,伟哥Panamera
🐲一起迎接龙年,52273180149,梦想yv
以前说高速上电车不行，全程三千六路上跑的慢的全是电车,97911051238,新疆金丝玉
零下三四度我从来不开空调，座椅加热，方向盘加热就够用了，最大60瓦功率，保温15瓦，一小时最多0.06度电，挺舒服的。我混动，46电池包，我不焦虑。,63483585287,op8888cn
堵在高速上的稍安勿躁，前方新能源电冻铲雪中正在充电中！电冻12O电冻救援车充完电都在赶来的路上,110940537977,小鱼儿
绝了绝了,25521675009,手机用户25521675009
本来电车就不适合这样的环境啊,6042355765,Pede
电车基本不会去高速，家里有电车的基本上会有一辆油车,3148628380887645,mhyebsnsks
河北下的是冬雨,50885717391,鸡腿菇与八爪鱼
有啥扛的，自己爱油还是爱电自己体会去，丹佛斯一氧化碳中毒不一定是油车专用，车内空间小，人吸入的啥乎出的啥，都好好的平安回家吧！,2955938531386670,快乐海浪AGe
极端天气电池效率再减半,104828120271,执着的远山KA
大众朗逸1.6，加满油55升，怠速油耗每小时0.5升。在高速上按30升算，烧完油可以支撑60个小时。,102648810030,番茄酱YOY
我就知道电能转换成热能是最耗电的，至于电车能顶多久我就不知道了，因为我没有电车，只能自求多福了！,3214578362623576,mimangya
为何不坐飞机呢？回老家机场再租一部好车回家过年不好吗？,72223366653,独孤九剑DU
你们都不看天气预报吗,109580153520195,孤独症患者Z
电车绝对省油,3478479016044139,温柔奶酪Wy
有啥用，油车是跑起来才有暖气，停在那里怠速一样是冷风[抠鼻],56298253005,明天153160474
插混的就厉害了,52378932650,沙尘时代
无知是很可怕的一件事,84034725803,CD徐大爷
54度电，一直开暖风一个小时少百分之一！就是0.5度电,50520666821,我140382751
[我想静静],110575344775,史蒂芬猪头
想多了，没那么冷，我刚熬过来，半夜1点经过怀化的时候突然下大冰雪，盖了被子不冷,659306084303198,神秘猛男
某些自媒体人 我怀疑你到底见过电车吗？停车开空调，到底是油车方便还是电车方便？,5960279270,青天鹤
信我，兄弟们，开电车的车皮可以软，刹车可以软，轮胎可以软。就他们那张嘴，全世界最硬，比钻石还硬,7024425275,Bossley
哈哈哈哈哈哈哈😂！忍不住笑,4252506629606126,鬼作的萬事屋
别管你是多大的电池，极端天气开空调，5分钟你就得看一回电量，里程焦虑都吓死你了,51052140503,寂寞的跑步者
理论数据和现实有差距,109456070045,齐鲁正义
高大上的电动车不开空调都冒汗。怕没电[呲牙],6211734318,幽默暖阳feiyang
在电池还不成熟的前提下，电车应该和目前电瓶车一样，管理的严，尤其要禁止进入公共地下车库。别真的发生大事才出台相关政策。[捂脸][捂脸][捂脸],70093732551,LuckyStarTech
真不知道油车开空调能抵两三天真能扯。,6689629676,魔法橙子L0
不能就近下高速吗？,1918020163737918,开心灵er
[捂脸][捂脸]，没开过电车吧，油车你舍得堵车一天不熄火吗，我电车就不会熄火，而且我试的一小时大概掉一两公里续航里程，就按现在最小混动55公里起码撑一个白天没事，别扯什么我可以撑好几天，油车堵高速封路那种，基本都是熄火，,4393167466,安西都护嘿嘿
卖电车的如何说服我？,61959981740,时髦小羊did
还有人笑话增程不？,61771446930,szlauren
50几升油+18度电，续航标准是1200，再差怎么也有800吧？堵车一点都不担心。你们继续讨论。,3954004423,见人间烟火
这不正好电车的主场吗？就地露营啊！大沙发、大床安排上,1568371812875645,东明山叟
太到位了,111065143396,何大六
我昨天晚上一点睡到早上七点四十 掉了十三个电 电车只要车跑的不快 暖风耗电不高 主要是续航打折 打一半 再就是高速行驶空调暖风凉的快,4116169542869975,不想起3433
🎊一起迎接春节,4116169542869975,不想起3433
现在电池的技术在北方冬季电车续航和夏天差距大吗？,2436514100,爱猪21877887
电车不是很牛吗？[呲牙],72910846171,优美清泉n7
电车开空调是最省的 油车才是问题 怠速开空调 油表下降速度之快,109973315651,swordmanch
由于冻雨影响电力线路受损，导致高速沿线服务区无法充电，请各位车主抓紧时间联系救援，加油站有发电机可以正常加油[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸],5977314005,年轻大叔74001549
别和油车车主解释，带热泵空调的电车，一小时也就1.2-1.5度， 至于能坚持多久，油车看油箱油有多少，电车看有多少电。 难道油车没油还要一直开空调吗？？,15542282858,何必太认真47
一个大雪冰冻天气，让电车情何以堪啊？,65384779967,lzm1772662
有什么所谓，电车省油就是啦,71621346734,游我在别怕
该说不说，大雪干嘛带孩子上高速？哪个有电车的家里没有油车？冷暖自知，不要安慰自己。,22907344020,喜庆的松鼠D
🎊一起迎接春节,2876778187864868,九怀市发仔
自己克服一下就行了[捂脸][捂脸][捂脸],106819472261,勇者船帆GK5
今年保不齐会有徐峥和王宝强在野外点着篝火吃方便面的场景,1424572560717568,留痕厶影
估计没得四五天问题解决不了[比心]加油,10121398062,蔡登标
没开过电车的人总替电车操心也是没谁了！,5792419628,可靠明月Ru
愿人们都平安到家[祈祷],5742792068,红指甲w
🎊一起迎接春节,5816434863,陌上花开xiaoya
不怕二氧化碳中毒吗,6735671358,青桔1987
电车用火电，伪新能源[捂脸],82717708133,挣扎的鹰
反正我电车一点不怕堵，堵一晚上看着电视用着氛围灯和空调也没掉多少电量。都2024了还有人说电车怕堵也是醉了,1961963365867822,牛牛
电车，在别的国家跟本就没多少人在用。,2985863959813175,山顶云端
热泵空调，不好意思，还有就零下 3 度，呵呵呵呵呵呵,4534411781,莫问2002
家里一匹空调一晚上几度电，电车完全没问题。,96187222211,别信自媒体
这种天气开电车上高速都是勇士啊,104285918898,拉缸的小飞侠
看来以后出门要准备好被子在车上了[捂脸]，这样就算不打暖气也能熬一下,94772010700,可爱宝贝1355
电车油车两极分化，都在评论区吵架，我开油车我还是喜欢油车，冬天电车感觉不靠谱,106816581691,往事只能回味0829
据说开电车影响智商，是真的吗？,50330239884,Mr卜127056723
不懂不要开腔…….,2651619218427084,遥远的微视界
钱在别人口袋里，别人想怎么花就怎么花呗，为什么非要冷嘲热讽，不管油车还是电车希望他们平安回家不好吗,6567717339,星际陆战兵
油车开堵高速也不敢启动开一晚暖气啊。不到服务器没油也是个铁壳壳,55670439405,陕南潇潇
就不知道脑子是怎么考虑的 开电车回去 服了,109687730457,提篮OK
家里备两辆，短距离开电车，长途开油车[大笑][大笑][大笑],5525963538,旺得福的猜想
🎊一起迎接春节,2106307722879582,snake范
已经有两辆油车，本来准备换辆特斯拉，考虑了一晚，果断选择a4l。,69749505980,巢州原住民
转发了,13311199291,朝气蓬勃的苹果蕉
🎊一起迎接春节,3729192280134493,可以23878
受益良多,4006233791540525,不明白的羊三哥
不怕一氧化碳中毒吗？,5802578887,遏据唛
这个天气，电量低于50%就要着急充电了，随时可能直接跳到20%以下,108944764929,大气奶茶wc
开电车不能去油车那里蹭一下暖气吗？[呲牙][呲牙][呲牙][呲牙],849293480835935,派陷阱
开电车？我就没打算往高速去,6059538794,见过世面的界王神
不是每一个人的家乡都在千里之外,54940427382,在下大侠两枝花
没事的,91946804969,智勇双全荷叶M
胡说八道 油车开空调最耗油 容易一氧化碳中毒,84723500741,慕慕颜
这种情况应该弃车保命要紧。,59460295189,我很酷mteT
为什么不就近引流下高速，到地方乡镇也不至于忍饥挨饿！,108474531631,自由钢笔OW
油车原地怠速空调不怕一氧化碳中毒咩,61646575478,胡一刀8868
我说堵了三天冷冻了三天湖北应急措施做的差，很多人还喷我。,3710596757,聪明的铅笔In
稍等，马上到[呲牙],50270297272,绝望的生鱼片25
电车更省,111437097169,密室沃德财富
买大电动车前，你们可以先花3000块买辆小电动车骑一下，你们就会知道电动车的优势和劣势了！,7000823794,00陪朕出宫00
Dmi车型 满电满油 还好吧。。,5890462077,沈阳老贲猫舍
油电混合车的电池只开空调能维持三十多个小时，电耗完了启动发动机发电，不比纯燃油车香吗[偷笑],23803471072,智慧礼炮
油车怠速每小时不会超过两升,6990938583,紫云123010046
电车就不适合跑高速,3302523278992823,温了秋天丶
以后春运车上放个被子睡袋,6823654933,Chanel笑
开油车的跟开电车的都自带优越感，其实各自安好就是了，炫耀踩踏对方能让自己爽到高潮？,1099942124593048,光屁股a
永远叫不醒装睡的人！互勉！[灵光一闪],4576712298,壹翎壹故事会
没啥好争的。说电车好的，就买电车；说油车好的，就买油车。,80802937036,用户8357685497041
笑死。开油车要电车自求多福。油车电车我都有,96965079871,聪明星球Ou
还是油车靠谱,3732409553,睿古古
油车不用开空调啊，ac关了，就发动机的热风足够暖，甚至要开点窗。虽然费点油，但也就是怠速油耗。满油能撑挺久的,2334955915188535,小灰灰888999
混动车一缸油可以发出200的以上的电，发电期间使用发动机预热取暖，烧油取暖发电，混动车是不是这逻辑？,8203364586,小胡子xiaohuzi
没开过大容量的电车！不知道咋评论！,52556806346,针与灸
"原地停车开暖风1小时的耗油量因车型和环境等因素而异，一般情况下，原地怠速开暖风1小时油耗大约在1-3升左右。需要注意的是，长时间原地怠速开暖风不仅会增加油耗，还会对车辆造成一定的损伤，同时也会影响车内人员的健康，可能会造成一氧化碳中毒。因此，如果需要长时间等待，建议尽量选择熄火等待。",52621717093,聪明勇敢的旭日
孩子跟着受罪了[捂脸],2582120246567773,大宝妈妈在北漂
🎊一起迎接春节,4245427915,谁叫小强
支持一下,866032893039310,岭下山客
当年从重庆回天津，被大雪困在秦岭高速，也是带个三岁多的小孩，好在车有油，有大号保温水壶和户外移动电源，抗了过来，第二晚才到西安歇脚。,4353719362673927,eva210
冬天电车只要你是电瓶的不管你啥电瓶就是放那不动掉电掉的也很厉害。,4558798248,我到人间只此回
随便堵车，我不怕，我用的是雅迪新能源，反正再堵也是在家喝茶,106574743156,用户3556209561187
给电车洗地的，基本都是围绕电车产业的员工，暖气可比空调费电多了,3658815568875064,来杯没奶的奶茶
🎊一起迎接春节,6397032723,雲起花落
俩车合并一个，挤一点，但是保命,4362486271979223,城市猴子
电车这种情况只开座椅加热就够了，撑好多天,2949104132,SsOrrY
我是开电车的，但我过年不用回老家，你如何喷？,4202961397,泡沫问情
🐲一起迎接龙年,109146751937,坚定782
你操心太多了,69259098413,鹿饭胖迪
难得你们又找到一个黑电车的理由了，不容易，继续挖掘。,96664116114,交易通乾坤
增程车这时候无敌！40度电，加1箱油，开空调，烧开水煮面吃，看电视，几天没问题。,106141461219,自由随风而逝
电车开空调能更久，当然你可以硬杠,5872827670,MrZero512
电车没有油车驾驶室暖和[大笑],2840791633103903,gang3518
不怕一氧化碳中毒啊,86942954933,不符合很有意思
电车的用途是在市内，非要上高速,399810519370579,一般平常人
纯油纯电同同时出发去拉萨，谁先到赢2万，输的罚2万，有谁试试！,64077807723,糖醋糖排骨
天王老子来了也是电车省油，新能源电车代表高科技，汽车淘汰驴车，电车淘汰汽车。,629398683527420,一键还原未来
一场大雪 把电车打回原型,1790876732,失火天堂
电车好电车妙电车省钱呱呱叫[灵光一闪],3646426758266030,齐鲁大张
这是时候，很多油车的人都喜欢(幸灾乐祸)说电车[偷笑],319276303001133,理想大镜头
不管电车还是油车没能源了都得趴窝、不同的是油车可以拿个矿泉水瓶子弄点油救急，电车只能拖车了吧？,50320573960,lovely的专职摄影师
电车油车争论不休，关键大家都能早点平安回家过年，这一年都不容易,2079904324130343,用户6150882118542
遇到这种极端天气，不是想着抱团取暖，而是嘲笑别人，这是什么心理[what],5353115580,有直升机的周朝先
油车敢开着空调过夜？,17399338977,雕魂师
我混动没有中毒风险 基本可以不用油,4053739221,哎呦喂大侠
孩子遭罪啊,76078904106,万万没想到1820
油车密封不好容易中毒,4664072549,35歼
虽然冒着一氧化碳中毒的危险，也不耽误忧心氢能源车 太坏了，一年销量这么多，汽修厂油车厂商加油站怎么活啊。[捂脸],105038650087,廖廖数语就解答
🎊一起迎接春节,111346144523,喊你下课
温馨提示 油车停车开空调容易一氧化碳中毒,98847159923,种花家的薛定谔
🎊一起迎接春节,57772440421,Gloria770
前几年没买车堵在了火车站，现在买车了堵在了高速路上，难阿,19002047599,小锋190976883
买电车合适，因为电车不烧油,5507556138,酸酸乳柠檬汁
油车能开空调睡觉，太危险了。,4512667042,勇敢ba
迎接春节,2520527926730260,果儿聊生活
我油车原地空调半天半箱油 感觉比跑着都费,4512692080,舔歪肥仙
没必要的争论，自己新欢啥都买啥。为何非要吵呢。搞不懂国民的心态,6576443526,老王哥的哥
不服不行,57786025693,横眉冷对看世界
有啥好吵的，你的是油车就享受着开呗，人家买电车的又不是花你的钱还要让你高兴满意了？行不行人家自己有判断,56143930443,Sky214519540
开电车的人也这样祝福开油车的,1978766079297246,好学溪流z6
纯电就惨，混动才好。,7528847076,边走边拍的莉
没开过电车的就别说电车啥的，想象不如实测自己用一下就知道了,98203293446,酩肤天颜
太到位了,109764412549,用户2009967659605
电车不是说可以开空调啊,4503220742528423,转三趟公交
开电车一是担心刹车失灵 另外一个电再这个冬天有点冷影响电池续航里程大打折扣，人多少心虚啦！还是油车安心，机油就可以走，暖气随便用，电车就没有那么好，续航里程暖风都再抢资源消耗电，不心虚才怪[震惊][震惊][震惊][比心][比心][比心],50631528504,大海138363831
啪啪打脸新能源,2554883791664244,自在星球K
出发前不看天气预报吧，大家都是成年人了，为自己行为买单，别什么都怨政府,3696119580,叶子22931005
一群开油车得在这意淫人家开电车得空调能耗[捂脸]。,57475772449,爱吃素菜得小吴
一句话，零下几度的天气油车，电车堵几天走不动一样是卵的,2559252989223278,热闹白云vc
一天一夜也就几度电 纯电续航的一般几十度电 满电四五天没问题,98203293446,酩肤天颜
🐲一起迎接龙年,1842423205202007,用户9499649579912
停车状态下油车开空调，会要命的。,92815815473,zy123456789yy
笑死人了，你先去买个车满油零下开着怠速能不能顶一天。,2318211774677603,无双山雀o
说反了，油车你敢开空调睡觉，电车就没这个问题,8075141528,六一八2
我记得看过一个美国的报道，一家人也是被困特斯拉内，外面暴风雪，车里还有个婴儿，然后等了14小时等来了救援，就是不知道14小时候还能坚持多久，国内这种暴风雪被困电车到底能坚持多久的报道没看到,110953182615,萌萌mandy
说反了吧，如果你同时有电车和油车，油车绝对吃灰呀，长途出门还是电车舒服，家里的油车只能是应急了,100409971054,羊过羊锅锅
出远门我是不敢开电车，心真大一家老小在车上直接开电车上路牛逼🐮,82621215941,浪荡江湖123
🐲一起迎接龙年,3034246375279507,姑娘请借一步说话
这边几款车怠速热风的油耗，1l到3l每小时之间，堵在高速的各位算好最近的加油站距离，留好应急的油[比心],4739457610,声来有趣
油车不是也要发动机发动，才有暖风吗？这种停在原地发动，不需要耗油？,3901286695,做富爸爸
电车不怕堵车的，怕高速跑起来，懂不懂,55172893365,飞火流星146327374
插混，比你纯油经整，电池的电就够开几天空调了,70322837980,家族不是猪
都赶着过年,84681571982,来去匆匆的时光过客
想不通开电车长途回老家的,6880915272,起风节奏
插电混得有多舒服[捂脸],6999060229,余聲漫
工业垃圾歪道技术…美滋滋[偷笑],51696636380,DXZX2022
买电车的不会长记性，被那些表面光鲜的蒙蔽,84151392193,风趣青山V3A
白天穿好衣服，留下车主，其他大人带着孩子就地下高速，打车或者叫救护车去附近集镇住宿。,105172396798,此件为准
油车停车怠速待机时间，满油理论值约：70/0.8=88小时，约3.5天。开空调时，转速约上升15%，就打个八折，可待机约2.5天。,3046076876072815,今日雪
感谢分享,104335676050,田田81991
这种天气高速为什么还开？再一个？有天气预报嘛，看一看就别走了，反正你也走不了。,97191977482,枕云散人
开电车过年上高速我不知道咋想的？,4147550443,浑身难瘦Hz
一箱油不停机怠速三天没问题[呲牙],82324493808,今天上班摸鱼了吗
油车这样睡觉，会不会直接安乐死？,8118764375,淡泊的柑桔J
让孩子去隔壁油车借舍一晚,4275322454061599,雨田州人
🐲一起迎接龙年,55791145834,平安是福98544
电车基础能耗得200W，空调电加热2kW，热泵空调大约1kW,109537425780,曹雨田ok
一句话，反正我就是不要电车[我想静静],50990658762,小幸运162176017
湖北人民帮帮忙，希望不要让小朋友在高速过夜,39213764445719,安岳二手车
迎接春节，网上现在应该出现了整套的高速堵车神器吧[笑哭],451242611715760,栋文栋言
说了多少次了？电车过年不上高速，不会被困！电车过年不上高速，不会被困！为什么总是担心电车呢？[叹气],456987307416088,GZ110086
可怜的宝,107994736791,王若函爸爸
我在高速上还看到电车晚上不开灯的，,101918396720,多幸运1091
55度电，4号常德阮江大桥堵了一夜十六个小时，吹着空调看了一夜侦查英雄和大江大河，好像掉了五十公里吧。油车敢关窗吹一夜暖风？敢怠速一夜吗？哈哈,93951966579,粗暴的粗糙
明知山有虎，偏向虎山行，不得不服,105152601850,水澹烟生
如果是零下十几度，PTC满功率运行，一小时五六度电，可刺激了[捂脸],98569892116,深情不如三菜一汤
电车最多就是进不去服务区充电痛苦，堵车又不怕,915214723980478,一心一意风铃C5
精辟,110822320968,用户4725144318587
油车怠速1.5l每小时，60l的油箱，撑死40个小时，还来显摆，真的笑死个人,6597885955,印象卡卡
好好坐火车不香吗？,1574120013439560,灵敏生活家PF
有政府来安排怕什么啊？,78117808531,泰山风吟
油车确实省电应该,3432402190,爱生活的缘分的天空
油车开空调不怕一氧化碳中毒？,2353388629793854,车水马龙的
电车确实好，又省钱，动力又好，我建议你们都去买电车，这样我想买的油车就会大降价,2872371703454296,backham
油烧光了人家电车还有电，没文化真可怕。[捂脸],3736952292,多才杰克吐温
总是争论电车好还是油车好有什么意思，各花入各眼，喜欢什么车就买什么车就完了！,4153040853,三羊开泰SU
🎊一起迎接春节,101283777572,涂涂2701
